#"Step","Potential Energy (kJ/mole)","Temperature (K)"
6000,-4884552.909287255,300.9126477007796
7000,-4887810.256943505,301.0522074520222
8000,-4883089.628037255,300.70044424929836
9000,-4886148.862412255,301.04775367290637
10000,-4882529.202256005,301.05577360597266
11000,-4886975.073349755,301.26369988547316
12000,-4886410.987412255,301.13729605512987
13000,-4883367.432724755,300.64918032982615
14000,-4886899.471787255,301.00858358192096
15000,-4887820.518662255,301.18457313403474
16000,-4887268.878037255,300.8877923527667
17000,-4883773.128037255,299.6401121966672
18000,-4885679.960068505,300.78988808162126
19000,-4887582.788193505,302.29872487622134
20000,-4886947.987412255,301.1648175820899
21000,-4886787.467881005,300.31844720983383
22000,-4887368.237412255,300.1470236963483
23000,-4887833.960068505,301.22745294695426
24000,-4887226.893662255,300.2845813819145
25000,-4887894.921006005,301.2028990913777
